物料	物料号	产品名称	型号规格	型号规格（中）	物料特征	六位代码	供应商代码	供应商名称	基本单位	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	物流毛重	物流毛重单位	物流体积	物流体积单位	物流长度	物流宽度	物流高度	物流尺寸单位	SN标志	基本单位 /主包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	基本单位 /次包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	经销商价格	SRP	始销日期	停止日期	下载日期	产品组	业务部门	物料组1
27-5048-93	P27504893	VPCCW152C/BU	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	1.25	1.25	0.006	0.2	0.1	0.3	3.898	KG	17059.875	CCM	48.5	10.5	33.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4799		0	0	20110829	VAIO	CSM	VAIO
27-5049-90	P27504990	VGN-FW58F/B（黑）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.1	0.02	4.8	KG	21967.4	CCM	45.5	14.2	34	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12219		20010101	0	20110829	VAIO	CSM	VAIO
27-5051-90	P27505190	VGN-NW25E/B（黑）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.1	0.02	4.4	KG	16320	CCM	50	9.6	34	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4991		20010101	0	20110829	VAIO	CSM	VAIO
27-5051-91	P27505191	VGN-NW25E/P（粉）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.1	0.02	4.4	KG	16320	CCM	50	9.6	34	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4991		20010101	0	20110829	VAIO	CSM	VAIO
27-5051-92	P27505192	VGN-NW28E/N（亮棕色）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.1	0.02	4.4	KG	16320	CCM	50	9.6	34	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6649		20010101	0	20110829	VAIO	CSM	VAIO
27-5053-90	P27505390	VGN-TT45G/B（黑）	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.75	KG	4987.5	CCM	12.5	14	28.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12219		20010101	0	20110829	VAIO	CSM	VAIO
27-5053-91	P27505391	VGN-TT45G/N（金）	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.75	KG	4987.5	CCM	12.5	14	28.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12219		20010101	0	20110829	VAIO	CSM	VAIO
27-5056-90	P27505690	VPCEA26EC/L(蓝)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	1.25	1.25	0.0009	0.3	0.15	0.02	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A			0	0	0	0	0	0	0	0	0	0	0	0	0	0		20010101	0	20110829	VAIO	CSM	VAIO
27-5056-91	P27505691	VPCEA26EC/P(粉)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	1.25	1.25	0.0009	0.3	0.15	0.02	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A			0	0	0	0	0	0	0	0	0	0	0	0	0	0		20010101	0	20110829	VAIO	CSM	VAIO
27-5056-92	P27505692	VPCEA26EC/W(白)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	1.25	1.25	0.0009	0.3	0.15	0.02	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A			0	0	0	0	0	0	0	0	0	0	0	0	0	0		20010101	0	20110829	VAIO	CSM	VAIO
